Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2024-05-12,12:20 AM,52 °F,48 °F,88 %,E,5 mph,0 mph,29.67 in,0.0 in,Fair
2024-05-12,12:50 AM,52 °F,46 °F,82 %,VAR,2 mph,0 mph,29.67 in,0.0 in,Fair
2024-05-12,1:20 AM,52 °F,48 °F,88 %,NE,3 mph,0 mph,29.67 in,0.0 in,Fair
2024-05-12,1:50 AM,52 °F,46 °F,82 %,ENE,3 mph,0 mph,29.64 in,0.0 in,Fair
2024-05-12,2:20 AM,52 °F,48 °F,88 %,VAR,2 mph,0 mph,29.64 in,0.0 in,Fair
2024-05-12,2:50 AM,48 °F,46 °F,93 %,NE,2 mph,0 mph,29.64 in,0.0 in,Fair
2024-05-12,3:20 AM,48 °F,46 °F,93 %,VAR,2 mph,0 mph,29.64 in,0.0 in,Fair
2024-05-12,3:50 AM,48 °F,46 °F,93 %,ENE,6 mph,0 mph,29.64 in,0.0 in,Fair
2024-05-12,4:20 AM,46 °F,45 °F,93 %,ENE,5 mph,0 mph,29.64 in,0.0 in,Fair
2024-05-12,4:50 AM,46 °F,45 °F,93 %,ENE,3 mph,0 mph,29.64 in,0.0 in,Fair
2024-05-12,5:20 AM,48 °F,46 °F,93 %,E,2 mph,0 mph,29.64 in,0.0 in,Fair
2024-05-12,5:50 AM,50 °F,46 °F,87 %,ENE,2 mph,0 mph,29.64 in,0.0 in,Fair
2024-05-12,6:20 AM,50 °F,46 °F,87 %,VAR,1 mph,0 mph,29.64 in,0.0 in,Fair
2024-05-12,6:50 AM,50 °F,48 °F,94 %,CALM,0 mph,0 mph,29.67 in,0.0 in,Fair
2024-05-12,7:20 AM,52 °F,48 °F,88 %,VAR,1 mph,0 mph,29.67 in,0.0 in,Fair
2024-05-12,7:50 AM,52 °F,48 °F,88 %,CALM,0 mph,0 mph,29.67 in,0.0 in,Fair
2024-05-12,8:20 AM,54 °F,48 °F,82 %,CALM,0 mph,0 mph,29.67 in,0.0 in,Fair
2024-05-12,8:50 AM,54 °F,48 °F,82 %,CALM,0 mph,0 mph,29.67 in,0.0 in,Fair
2024-05-12,9:20 AM,55 °F,50 °F,82 %,CALM,0 mph,0 mph,29.67 in,0.0 in,Fair
2024-05-12,9:50 AM,57 °F,50 °F,77 %,SE,3 mph,0 mph,29.67 in,0.0 in,Fair
2024-05-12,10:20 AM,61 °F,48 °F,63 %,CALM,0 mph,0 mph,29.67 in,0.0 in,Fair
2024-05-12,10:50 AM,64 °F,46 °F,52 %,VAR,1 mph,0 mph,29.67 in,0.0 in,Fair
2024-05-12,11:20 AM,63 °F,46 °F,55 %,S,6 mph,0 mph,29.67 in,0.0 in,Fair
2024-05-12,11:50 AM,64 °F,48 °F,56 %,WSW,7 mph,0 mph,29.67 in,0.0 in,Fair
2024-05-12,12:20 PM,64 °F,46 °F,52 %,WSW,7 mph,0 mph,29.64 in,0.0 in,Fair
2024-05-12,12:50 PM,64 °F,45 °F,49 %,WSW,8 mph,0 mph,29.64 in,0.0 in,Fair
2024-05-12,1:20 PM,66 °F,45 °F,46 %,WSW,8 mph,0 mph,29.64 in,0.0 in,Fair
2024-05-12,1:50 PM,66 °F,43 °F,43 %,WSW,10 mph,0 mph,29.64 in,0.0 in,Fair
2024-05-12,2:20 PM,66 °F,45 °F,46 %,WSW,9 mph,0 mph,29.64 in,0.0 in,Fair
2024-05-12,2:50 PM,66 °F,45 °F,46 %,SW,10 mph,0 mph,29.64 in,0.0 in,Fair
2024-05-12,3:20 PM,66 °F,43 °F,43 %,WSW,10 mph,0 mph,29.64 in,0.0 in,Fair
2024-05-12,3:50 PM,66 °F,45 °F,46 %,SW,9 mph,0 mph,29.61 in,0.0 in,Fair
2024-05-12,4:20 PM,66 °F,45 °F,46 %,WSW,7 mph,0 mph,29.61 in,0.0 in,Fair
2024-05-12,4:50 PM,68 °F,46 °F,46 %,SW,7 mph,0 mph,29.61 in,0.0 in,Fair
2024-05-12,5:20 PM,66 °F,46 °F,49 %,SW,6 mph,0 mph,29.61 in,0.0 in,Mostly Cloudy
2024-05-12,5:50 PM,68 °F,50 °F,52 %,ENE,13 mph,0 mph,29.61 in,0.0 in,Mostly Cloudy
2024-05-12,6:20 PM,66 °F,52 °F,60 %,ENE,15 mph,0 mph,29.61 in,0.0 in,Mostly Cloudy
2024-05-12,6:50 PM,64 °F,52 °F,64 %,ENE,15 mph,0 mph,29.61 in,0.0 in,Partly Cloudy
2024-05-12,7:20 PM,64 °F,52 °F,64 %,ENE,15 mph,0 mph,29.61 in,0.0 in,Partly Cloudy
2024-05-12,7:50 PM,63 °F,52 °F,68 %,ENE,14 mph,0 mph,29.61 in,0.0 in,Fair
2024-05-12,8:20 PM,61 °F,54 °F,77 %,ENE,16 mph,0 mph,29.64 in,0.0 in,Fair
2024-05-12,8:50 PM,59 °F,54 °F,82 %,ENE,15 mph,0 mph,29.64 in,0.0 in,Fair
2024-05-12,9:20 PM,59 °F,54 °F,82 %,ENE,16 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
2024-05-12,9:50 PM,57 °F,54 °F,88 %,ENE,14 mph,0 mph,29.64 in,0.0 in,Partly Cloudy
2024-05-12,10:20 PM,59 °F,54 °F,82 %,ENE,14 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
2024-05-12,10:50 PM,59 °F,54 °F,82 %,ENE,15 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
2024-05-12,11:20 PM,57 °F,54 °F,88 %,ENE,14 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
2024-05-12,11:50 PM,57 °F,52 °F,82 %,ENE,9 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
2024-05-13,12:20 AM,57 °F,52 °F,82 %,NE,10 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
2024-05-13,12:50 AM,57 °F,52 °F,82 %,NE,12 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
2024-05-13,1:20 AM,57 °F,52 °F,82 %,NE,7 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
2024-05-13,1:50 AM,57 °F,52 °F,82 %,NE,10 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
2024-05-13,2:20 AM,57 °F,52 °F,82 %,NE,7 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
2024-05-13,2:50 AM,57 °F,52 °F,82 %,NE,7 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
2024-05-13,3:20 AM,57 °F,52 °F,82 %,NE,8 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
2024-05-13,3:50 AM,57 °F,50 °F,77 %,NE,8 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
2024-05-13,4:20 AM,57 °F,52 °F,82 %,ENE,5 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
2024-05-13,4:50 AM,57 °F,52 °F,82 %,ENE,5 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
2024-05-13,5:20 AM,57 °F,52 °F,82 %,ENE,5 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
2024-05-13,5:50 AM,57 °F,52 °F,82 %,ENE,7 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
2024-05-13,6:20 AM,57 °F,52 °F,82 %,ENE,8 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
2024-05-13,6:50 AM,57 °F,52 °F,82 %,ENE,9 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
2024-05-13,7:20 AM,57 °F,52 °F,82 %,ENE,10 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
2024-05-13,7:50 AM,57 °F,50 °F,77 %,ENE,10 mph,0 mph,29.67 in,0.0 in,Mostly Cloudy
2024-05-13,8:20 AM,57 °F,50 °F,77 %,NE,12 mph,0 mph,29.67 in,0.0 in,Mostly Cloudy
2024-05-13,8:50 AM,57 °F,52 °F,82 %,NE,12 mph,0 mph,29.67 in,0.0 in,Mostly Cloudy
2024-05-13,9:20 AM,57 °F,50 °F,77 %,ENE,15 mph,0 mph,29.67 in,0.0 in,Mostly Cloudy
2024-05-13,9:50 AM,55 °F,50 °F,82 %,ENE,16 mph,0 mph,29.70 in,0.0 in,
2024-05-13,10:20 AM,54 °F,48 °F,82 %,ENE,18 mph,0 mph,29.70 in,0.0 in,
