Date (Tarih) ,Temperature (Sıcaklık) (°C) ,Dew Point (Çiğ Noktası) (°C) ,Humidity (Nem) % ,Wind Speed (Rüzgar Hızı) (mph) ,Pressure (Basınç) (in) ,Wind (Rüzgar Yönü) ,Condition (Durum)
2011-01-01   ,3.56                        ,-7.54                        ,           77.13 ,                          2.68 ,                 29.78 ,Rüzgarsız          ,Açık
2011-01-02   ,6.43                        ,-2.28                        ,           58.64 ,                          3.11 ,                 29.67 ,Güney              ,Açık
2011-01-03   ,5.97                        ,1.6                          ,           80.31 ,                          6.54 ,                 29.54 ,Kuzey              ,Çoğunlukla Bulutlu
2011-01-04   ,4.91                        ,2.92                         ,           87.88 ,                         14.23 ,                 29.74 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-01-05   ,4.32                        ,-0.57                        ,           77.1  ,                         14.0  ,                 29.87 ,Kuzeydoğu          ,Çoğunlukla Bulutlu
2011-01-06   ,3.74                        ,-0.76                        ,           79.66 ,                          3.77 ,                 29.92 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2011-01-07   ,4.73                        ,-2.35                        ,           79.85 ,                          3.53 ,                 30.03 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-01-08   ,3.83                        ,-6.7                         ,           76.02 ,                          2.48 ,                 30.0  ,Kuzeydoğu          ,Açık
2011-01-09   ,4.79                        ,-5.36                        ,           67.5  ,                          1.73 ,                 29.91 ,Değişken           ,Açık
2011-01-10   ,7.08                        ,-0.27                        ,           69.81 ,                          3.6  ,                 29.93 ,Değişken           ,Açık
2011-01-11   ,7.36                        ,2.52                         ,           73.27 ,                          4.38 ,                 29.84 ,Kuzeydoğu          ,Açık
2011-01-12   ,10.13                       ,1.68                         ,           59.57 ,                          3.23 ,                 29.74 ,Rüzgarsız          ,Açık
2011-01-13   ,7.79                        ,5.52                         ,           85.62 ,                          9.64 ,                 29.69 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2011-01-14   ,7.15                        ,4.6                          ,           84.36 ,                          2.19 ,                 29.68 ,Değişken           ,Parçalı Bulutlu
2011-01-15   ,8.46                        ,4.91                         ,           78.48 ,                          4.19 ,                 29.72 ,Batı-Güneybatı     ,Açık
2011-01-16   ,8.39                        ,5.81                         ,           83.41 ,                          7.0  ,                 29.77 ,Kuzey              ,Çoğunlukla Bulutlu
2011-01-17   ,6.66                        ,4.28                         ,           86.17 ,                         13.08 ,                 30.0  ,Kuzey              ,Çoğunlukla Bulutlu
2011-01-18   ,4.88                        ,2.27                         ,           83.36 ,                          6.87 ,                 29.94 ,Kuzeydoğu-Kuzey    ,Parçalı Bulutlu
2011-01-19   ,4.75                        ,-1.08                        ,           80.56 ,                          5.67 ,                 29.84 ,Kuzeydoğu-Kuzey    ,Açık
2011-01-20   ,6.12                        ,-0.31                        ,           76.62 ,                          2.73 ,                 29.74 ,Kuzeydoğu-Kuzey    ,Açık
2011-01-21   ,9.18                        ,2.77                         ,           66.83 ,                          2.49 ,                 29.76 ,Kuzeydoğu-Kuzey    ,Açık
2011-01-22   ,10.65                       ,4.23                         ,           66.64 ,                          2.34 ,                 29.71 ,Değişken           ,Çoğunlukla Bulutlu
2011-01-23   ,10.98                       ,6.06                         ,           73.27 ,                          6.92 ,                 29.61 ,Güney              ,Çoğunlukla Bulutlu
2011-01-24   ,5.07                        ,3.61                         ,           91.15 ,                         12.19 ,                 29.61 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-01-25   ,4.38                        ,2.86                         ,           90.0  ,                         11.67 ,                 29.48 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-01-26   ,3.53                        ,0.42                         ,           83.73 ,                          9.56 ,                 29.6  ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
2011-01-27   ,4.68                        ,-2.37                        ,           77.47 ,                          3.7  ,                 29.73 ,Değişken           ,Çoğunlukla Bulutlu
2011-01-28   ,4.29                        ,-1.96                        ,           70.3  ,                          9.45 ,                 29.74 ,Kuzeydoğu          ,Çoğunlukla Bulutlu
2011-01-29   ,4.69                        ,0.29                         ,           78.94 ,                         21.0  ,                 29.69 ,Kuzeydoğu-Kuzey    ,Çoğunlukla Bulutlu
