Date       ,Time     ,Temperature ,Dew Point ,Humidity ,Wind ,Wind Speed ,Wind Gust ,Pressure ,Precip. ,Condition
2011-01-01 ,12:50 AM ,34 °F       ,28 °F     ,81 %     ,VAR  ,1 mph      ,0 mph     ,29.84 in ,0.0 in  ,Fair
2011-01-01 ,1:20 AM  ,34 °F       ,28 °F     ,81 %     ,NNE  ,2 mph      ,0 mph     ,29.84 in ,0.0 in  ,Fair
2011-01-01 ,1:50 AM  ,32 °F       ,28 °F     ,87 %     ,NE   ,3 mph      ,0 mph     ,29.84 in ,0.0 in  ,Fair
2011-01-01 ,2:20 AM  ,32 °F       ,28 °F     ,87 %     ,NE   ,3 mph      ,0 mph     ,29.81 in ,0.0 in  ,Fair
2011-01-01 ,2:50 AM  ,30 °F       ,28 °F     ,93 %     ,NE   ,3 mph      ,0 mph     ,29.81 in ,0.0 in  ,Fair
2011-01-01 ,3:20 AM  ,30 °F       ,28 °F     ,93 %     ,NNE  ,2 mph      ,0 mph     ,29.81 in ,0.0 in  ,Fair
2011-01-01 ,3:50 AM  ,32 °F       ,28 °F     ,87 %     ,NNE  ,2 mph      ,0 mph     ,29.81 in ,0.0 in  ,Fair
2011-01-01 ,4:20 AM  ,32 °F       ,28 °F     ,87 %     ,CALM ,0 mph      ,0 mph     ,29.81 in ,0.0 in  ,Fair
2011-01-01 ,4:50 AM  ,34 °F       ,30 °F     ,87 %     ,VAR  ,1 mph      ,0 mph     ,29.81 in ,0.0 in  ,Fair
2011-01-01 ,5:20 AM  ,32 °F       ,28 °F     ,87 %     ,VAR  ,1 mph      ,0 mph     ,29.81 in ,0.0 in  ,Fair
2011-01-01 ,5:50 AM  ,30 °F       ,28 °F     ,93 %     ,NE   ,3 mph      ,0 mph     ,29.81 in ,0.0 in  ,Fair
2011-01-01 ,6:20 AM  ,32 °F       ,28 °F     ,87 %     ,NE   ,3 mph      ,0 mph     ,29.81 in ,0.0 in  ,Fair
2011-01-01 ,6:50 AM  ,32 °F       ,30 °F     ,93 %     ,NE   ,3 mph      ,0 mph     ,29.81 in ,0.0 in  ,Fair
2011-01-01 ,7:20 AM  ,32 °F       ,30 °F     ,93 %     ,NNE  ,2 mph      ,0 mph     ,29.81 in ,0.0 in  ,Fair
2011-01-01 ,7:50 AM  ,36 °F       ,0 °F      ,87 %     ,VAR  ,1 mph      ,0 mph     ,29.81 in ,0.0 in  ,Fair
2011-01-01 ,8:20 AM  ,36 °F       ,0 °F      ,87 %     ,VAR  ,1 mph      ,0 mph     ,29.81 in ,0.0 in  ,Partly Cloudy
2011-01-01 ,8:50 AM  ,36 °F       ,0 °F      ,87 %     ,CALM ,0 mph      ,0 mph     ,29.81 in ,0.0 in  ,Partly Cloudy
2011-01-01 ,9:20 AM  ,37 °F       ,0 °F      ,81 %     ,CALM ,0 mph      ,0 mph     ,29.84 in ,0.0 in  ,Partly Cloudy
2011-01-01 ,9:50 AM  ,39 °F       ,0 °F      ,75 %     ,VAR  ,1 mph      ,0 mph     ,29.84 in ,0.0 in  ,Partly Cloudy
2011-01-01 ,10:20 AM ,39 °F       ,34 °F     ,81 %     ,SSE  ,3 mph      ,0 mph     ,29.84 in ,0.0 in  ,Partly Cloudy
2011-01-01 ,10:50 AM ,41 °F       ,0 °F      ,70 %     ,S    ,6 mph      ,0 mph     ,29.84 in ,0.0 in  ,Partly Cloudy
2011-01-01 ,11:50 AM ,43 °F       ,34 °F     ,70 %     ,S    ,8 mph      ,0 mph     ,29.81 in ,0.0 in  ,Fair
2011-01-01 ,12:20 PM ,45 °F       ,34 °F     ,66 %     ,S    ,7 mph      ,0 mph     ,29.81 in ,0.0 in  ,Fair
2011-01-01 ,12:50 PM ,45 °F       ,34 °F     ,66 %     ,SSW  ,6 mph      ,0 mph     ,29.81 in ,0.0 in  ,Fair
2011-01-01 ,1:20 PM  ,45 °F       ,0 °F      ,61 %     ,SSW  ,7 mph      ,0 mph     ,29.81 in ,0.0 in  ,Fair
2011-01-01 ,1:50 PM  ,45 °F       ,34 °F     ,66 %     ,SSW  ,6 mph      ,0 mph     ,29.78 in ,0.0 in  ,Fair
2011-01-01 ,2:20 PM  ,46 °F       ,0 °F      ,57 %     ,WSW  ,7 mph      ,0 mph     ,29.78 in ,0.0 in  ,Fair
2011-01-01 ,2:50 PM  ,45 °F       ,0 °F      ,61 %     ,SW   ,7 mph      ,0 mph     ,29.78 in ,0.0 in  ,Fair
2011-01-01 ,3:20 PM  ,45 °F       ,30 °F     ,57 %     ,WSW  ,6 mph      ,0 mph     ,29.75 in ,0.0 in  ,Fair
2011-01-01 ,3:50 PM  ,45 °F       ,30 °F     ,57 %     ,SW   ,6 mph      ,0 mph     ,29.75 in ,0.0 in  ,Fair
2011-01-01 ,4:20 PM  ,45 °F       ,0 °F      ,61 %     ,SW   ,6 mph      ,0 mph     ,29.75 in ,0.0 in  ,Fair
2011-01-01 ,4:50 PM  ,45 °F       ,0 °F      ,61 %     ,W    ,6 mph      ,0 mph     ,29.75 in ,0.0 in  ,Fair
