Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2017-12-05,12:20 AM,46 °F,45 °F,93 %,NNE,18 mph,0 mph,29.75 in,0.0 in,
2017-12-05,12:50 AM,46 °F,45 °F,93 %,NNE,18 mph,0 mph,29.75 in,0.0 in,
2017-12-05,1:20 AM,46 °F,45 °F,93 %,NNE,16 mph,0 mph,29.72 in,0.0 in,
2017-12-05,1:50 AM,46 °F,45 °F,93 %,N,16 mph,0 mph,29.75 in,0.0 in,
2017-12-05,2:20 AM,46 °F,45 °F,93 %,NNE,16 mph,0 mph,29.75 in,0.0 in,
2017-12-05,2:50 AM,46 °F,45 °F,93 %,N,15 mph,0 mph,29.75 in,0.0 in,
2017-12-05,3:20 AM,45 °F,43 °F,93 %,NNE,16 mph,0 mph,29.78 in,0.0 in,
2017-12-05,3:50 AM,45 °F,41 °F,87 %,N,17 mph,0 mph,29.78 in,0.0 in,
2017-12-05,4:20 AM,43 °F,39 °F,87 %,NNE,21 mph,0 mph,29.75 in,0.0 in,
2017-12-05,4:50 AM,43 °F,37 °F,81 %,NNE,20 mph,0 mph,29.78 in,0.0 in,
2017-12-05,5:20 AM,43 °F,36 °F,76 %,NNE,20 mph,0 mph,29.78 in,0.0 in,Mostly Cloudy
2017-12-05,5:50 AM,43 °F,34 °F,70 %,N,20 mph,32 mph,29.78 in,0.0 in,Mostly Cloudy
2017-12-05,6:20 AM,43 °F,34 °F,70 %,N,20 mph,0 mph,29.78 in,0.0 in,Mostly Cloudy
2017-12-05,6:50 AM,43 °F,34 °F,70 %,N,16 mph,0 mph,29.81 in,0.0 in,Mostly Cloudy
2017-12-05,7:20 AM,43 °F,34 °F,70 %,NNE,14 mph,0 mph,29.81 in,0.0 in,Mostly Cloudy
2017-12-05,7:28 AM,43 °F,34 °F,70 %,NNE,15 mph,0 mph,29.81 in,0.0 in,
2017-12-05,7:50 AM,41 °F,36 °F,81 %,N,14 mph,0 mph,29.81 in,0.0 in,
2017-12-05,8:20 AM,41 °F,36 °F,81 %,NNE,15 mph,0 mph,29.84 in,0.0 in,
2017-12-05,8:50 AM,41 °F,37 °F,87 %,NNE,9 mph,0 mph,29.84 in,0.0 in,
2017-12-05,9:20 AM,41 °F,36 °F,81 %,NNE,10 mph,0 mph,29.84 in,0.0 in,
2017-12-05,9:50 AM,41 °F,36 °F,81 %,N,12 mph,0 mph,29.84 in,0.0 in,
2017-12-05,10:20 AM,41 °F,37 °F,87 %,NNE,9 mph,0 mph,29.84 in,0.0 in,Mostly Cloudy
2017-12-05,10:50 AM,43 °F,36 °F,76 %,NNE,6 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy
2017-12-05,11:20 AM,43 °F,34 °F,70 %,N,10 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy
2017-12-05,11:50 AM,43 °F,34 °F,70 %,N,10 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy
2017-12-05,12:20 PM,43 °F,34 °F,70 %,N,10 mph,0 mph,29.84 in,0.0 in,Mostly Cloudy
2017-12-05,12:50 PM,45 °F,36 °F,71 %,N,10 mph,0 mph,29.84 in,0.0 in,Mostly Cloudy
2017-12-05,1:20 PM,43 °F,34 °F,70 %,N,10 mph,0 mph,29.84 in,0.0 in,Mostly Cloudy
2017-12-05,1:50 PM,43 °F,32 °F,66 %,N,9 mph,0 mph,29.84 in,0.0 in,Mostly Cloudy
2017-12-05,2:20 PM,45 °F,32 °F,61 %,N,8 mph,0 mph,29.84 in,0.0 in,Mostly Cloudy
2017-12-05,2:50 PM,43 °F,32 °F,66 %,NNW,9 mph,0 mph,29.84 in,0.0 in,Mostly Cloudy
2017-12-05,3:20 PM,43 °F,30 °F,61 %,N,8 mph,0 mph,29.84 in,0.0 in,Mostly Cloudy
2017-12-05,3:50 PM,43 °F,30 °F,61 %,NNW,10 mph,0 mph,29.84 in,0.0 in,Mostly Cloudy
2017-12-05,4:20 PM,43 °F,28 °F,57 %,NNW,10 mph,0 mph,29.84 in,0.0 in,Mostly Cloudy
2017-12-05,4:50 PM,43 °F,32 °F,66 %,NNW,14 mph,0 mph,29.84 in,0.0 in,Mostly Cloudy
2017-12-05,5:20 PM,43 °F,32 °F,66 %,NNW,12 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy
2017-12-05,5:50 PM,43 °F,30 °F,61 %,NNW,12 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy
2017-12-05,6:20 PM,43 °F,32 °F,66 %,NNW,8 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy
2017-12-05,6:50 PM,43 °F,30 °F,61 %,NNW,8 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy
2017-12-05,7:20 PM,43 °F,32 °F,66 %,NNW,9 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy
2017-12-05,7:50 PM,43 °F,32 °F,66 %,N,9 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy
2017-12-05,7:57 PM,43 °F,32 °F,66 %,N,8 mph,0 mph,29.87 in,0.0 in,
2017-12-05,8:13 PM,43 °F,32 °F,66 %,N,7 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy
2017-12-05,8:20 PM,43 °F,32 °F,66 %,NNW,5 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy
2017-12-05,8:50 PM,43 °F,32 °F,66 %,NNW,6 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy
2017-12-05,9:20 PM,43 °F,34 °F,70 %,WNW,8 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy
2017-12-05,9:50 PM,41 °F,34 °F,76 %,WNW,8 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy
2017-12-05,10:07 PM,41 °F,34 °F,76 %,NNW,14 mph,0 mph,29.90 in,0.0 in,
2017-12-05,10:20 PM,39 °F,34 °F,81 %,N,14 mph,0 mph,29.90 in,0.0 in,
2017-12-05,10:50 PM,37 °F,36 °F,93 %,N,8 mph,0 mph,29.90 in,0.0 in,
2017-12-05,11:20 PM,37 °F,34 °F,87 %,NNW,6 mph,0 mph,29.90 in,0.0 in,
2017-12-05,11:50 PM,39 °F,36 °F,87 %,NNE,9 mph,0 mph,29.90 in,0.0 in,
2017-12-06,12:20 AM,37 °F,34 °F,87 %,NE,9 mph,0 mph,29.90 in,0.0 in,
2017-12-06,12:50 AM,37 °F,36 °F,93 %,VAR,2 mph,0 mph,29.90 in,0.0 in,
2017-12-06,1:20 AM,37 °F,34 °F,87 %,WSW,5 mph,0 mph,29.90 in,0.0 in,
2017-12-06,1:50 AM,39 °F,36 °F,87 %,W,7 mph,0 mph,29.90 in,0.0 in,
2017-12-06,2:20 AM,37 °F,36 °F,93 %,NNE,3 mph,0 mph,29.90 in,0.0 in,
2017-12-06,2:50 AM,37 °F,36 °F,93 %,ENE,6 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy
2017-12-06,3:20 AM,37 °F,34 °F,87 %,CALM,0 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy
2017-12-06,3:50 AM,37 °F,36 °F,93 %,CALM,0 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy
2017-12-06,4:20 AM,37 °F,36 °F,93 %,VAR,1 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy
2017-12-06,4:50 AM,37 °F,36 °F,93 %,VAR,2 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy
2017-12-06,5:20 AM,39 °F,34 °F,81 %,N,13 mph,0 mph,29.90 in,0.0 in,
2017-12-06,5:50 AM,39 °F,34 °F,81 %,NNE,6 mph,0 mph,29.90 in,0.0 in,
2017-12-06,6:20 AM,37 °F,32 °F,81 %,VAR,2 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy
2017-12-06,6:50 AM,39 °F,32 °F,75 %,VAR,2 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy
2017-12-06,7:20 AM,39 °F,34 °F,81 %,NNE,7 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2017-12-06,7:50 AM,39 °F,32 °F,75 %,NNE,9 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2017-12-06,8:20 AM,37 °F,34 °F,87 %,NE,9 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2017-12-06,8:50 AM,39 °F,34 °F,81 %,NNE,3 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
